Health Record ID,User ID,User Name,Dolphin ID,Dolphin Name,Normal Floatability,Eye Lesions,Visual Cues,Mouth Exam,Gastric Abnormality,Respiratory Disease,Force Expiration,External Disease Signs,Normal Floatability Comments,Eye Lesions Comments,Visual Cues Comments,Mouth Exam Comments,Gastric Abnormality Comments,Respiratory Disease Comments,Force Expiration Comments,External Disease Signs Comments,Eye Photo Path,Teeth Photo Path,Created At,Updated At
35,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1712042111937-872465828.png,uploads/1712042111943-631430701.png,uploads/1712042111947-925582715.png",,Tue Apr 02 2024 07:15:14 GMT+0200 (Mitteleuropäische Sommerzeit),Tue Apr 02 2024 09:15:14 GMT+0200 (Mitteleuropäische Sommerzeit)
36,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"localhost:3309/images/1712043585698-90498310.png,localhost:3309/images/1712043585703-279340741.png,localhost:3309/images/1712043585710-515213946.png",,Tue Apr 02 2024 07:39:49 GMT+0200 (Mitteleuropäische Sommerzeit),Tue Apr 02 2024 09:39:49 GMT+0200 (Mitteleuropäische Sommerzeit)
2,2,,2,Donna,1,2,1,1,,1,1,1,,,,,,,,,,,Sun Mar 31 2024 14:38:26 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 14:38:26 GMT+0200 (Mitteleuropäische Sommerzeit)
8,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711889344470-214779160.png,,Sun Mar 31 2024 12:49:38 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 14:49:38 GMT+0200 (Mitteleuropäische Sommerzeit)
9,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711890962822-758282548.png,,Sun Mar 31 2024 13:16:04 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 15:16:04 GMT+0200 (Mitteleuropäische Sommerzeit)
10,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711891137040-727355847.png,,Sun Mar 31 2024 13:18:59 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 15:18:59 GMT+0200 (Mitteleuropäische Sommerzeit)
11,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711891161119-502005855.png,uploads/1711891161121-605837112.png",,Sun Mar 31 2024 13:19:24 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 15:19:24 GMT+0200 (Mitteleuropäische Sommerzeit)
12,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711897540721-121423265.png,uploads/1711897540723-746271020.png",,Sun Mar 31 2024 15:05:46 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 17:05:46 GMT+0200 (Mitteleuropäische Sommerzeit)
13,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711901269590-720234093.png,uploads/1711901269592-603065473.png",,Sun Mar 31 2024 16:07:51 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 18:07:51 GMT+0200 (Mitteleuropäische Sommerzeit)
14,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711902948075-52591377.png,uploads/1711902948078-880937251.png",,Sun Mar 31 2024 16:35:49 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 18:35:49 GMT+0200 (Mitteleuropäische Sommerzeit)
15,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711903156125-626531353.png,uploads/1711903156128-202898682.png",,Sun Mar 31 2024 16:39:17 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 18:39:17 GMT+0200 (Mitteleuropäische Sommerzeit)
16,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711903254944-546277576.png,uploads/1711903254948-947527502.png",,Sun Mar 31 2024 16:40:56 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 18:40:56 GMT+0200 (Mitteleuropäische Sommerzeit)
17,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711905844537-910470826.png,uploads/1711905844541-714211265.png",,Sun Mar 31 2024 17:24:22 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 19:24:22 GMT+0200 (Mitteleuropäische Sommerzeit)
18,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711905926067-862896138.png,uploads/1711905926071-294594715.png",,Sun Mar 31 2024 17:25:28 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 19:25:28 GMT+0200 (Mitteleuropäische Sommerzeit)
19,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711906008091-118980762.png,uploads/1711906008097-57231820.png",,Sun Mar 31 2024 17:26:51 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 19:26:51 GMT+0200 (Mitteleuropäische Sommerzeit)
20,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,"uploads/1711906017358-440368748.png,uploads/1711906017362-108620927.png",,Sun Mar 31 2024 17:27:00 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 19:27:00 GMT+0200 (Mitteleuropäische Sommerzeit)
21,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711906120852-333140603.png,,Sun Mar 31 2024 17:28:43 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 19:28:43 GMT+0200 (Mitteleuropäische Sommerzeit)
22,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711906274022-714796827.png,,Sun Mar 31 2024 17:31:16 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 19:31:16 GMT+0200 (Mitteleuropäische Sommerzeit)
23,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711907808036-101055473.png,,Sun Mar 31 2024 17:56:51 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 19:56:51 GMT+0200 (Mitteleuropäische Sommerzeit)
24,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711908070064-310908994.png,,Sun Mar 31 2024 18:01:12 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:01:13 GMT+0200 (Mitteleuropäische Sommerzeit)
25,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711908292630-216991794.png,,Sun Mar 31 2024 18:04:56 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:04:56 GMT+0200 (Mitteleuropäische Sommerzeit)
26,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711908579523-622898733.png,,Sun Mar 31 2024 18:09:42 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:09:42 GMT+0200 (Mitteleuropäische Sommerzeit)
27,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711908897343-469503538.png,,Sun Mar 31 2024 18:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:15:00 GMT+0200 (Mitteleuropäische Sommerzeit)
28,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711909202736-5305915.png,,Sun Mar 31 2024 18:20:05 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:20:05 GMT+0200 (Mitteleuropäische Sommerzeit)
29,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711909339911-95300527.png,,Sun Mar 31 2024 18:22:22 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:22:22 GMT+0200 (Mitteleuropäische Sommerzeit)
30,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711910219703-57066841.png,,Sun Mar 31 2024 18:37:09 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:37:10 GMT+0200 (Mitteleuropäische Sommerzeit)
31,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711910783959-359635793.png,,Sun Mar 31 2024 18:46:31 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:46:31 GMT+0200 (Mitteleuropäische Sommerzeit)
32,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711910949996-775433010.png,,Sun Mar 31 2024 18:49:14 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:49:14 GMT+0200 (Mitteleuropäische Sommerzeit)
33,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711911112634-22102464.png,,Sun Mar 31 2024 18:51:55 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:51:55 GMT+0200 (Mitteleuropäische Sommerzeit)
34,4,Daniel,2,Donna,,,,,,,,,,,,,,,,,uploads/1711911342822-330216639.png,,Sun Mar 31 2024 18:55:46 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Mar 31 2024 20:55:46 GMT+0200 (Mitteleuropäische Sommerzeit)
